Tanggal ,Menu Makanan Minuman,Harga Produk,Total Produk,Total Item Terjual,Penjualan Per Hari ,Pemasukan per Hari,Pengeluaran per Hari,Laba Kotor per Hari,,,,,
4/5/2025,Mie Ayam Bangka ,20000,93,539,1860000,8317000,3052400,5264600,,,,,
4/5/2025,Teh Manis Es/Hangat,5000,83,539,415000,8317000,3052400,5264600,,,,,
4/5/2025,Mie Ayam Bangka Bakso,23000,82,539,1886000,8317000,3052400,5264600,,,,,
4/5/2025,Mie Ayam Bangka Pangsit,23000,55,539,1265000,8317000,3052400,5264600,,,,,
4/5/2025,Mie Ayam Bangka Komplit,28000,50,539,1400000,8317000,3052400,5264600,,,,,
4/5/2025,Jeruk Es/Hangat,6000,43,539,258000,8317000,3052400,5264600,,,,,
4/5/2025,Air Es/Hangat,4000,30,539,120000,8317000,3052400,5264600,,,,,
4/5/2025,Es Campur ,15000,29,539,435000,8317000,3052400,5264600,,,,Biaya Tetap per Hari,357400
4/5/2025,Air Mineral Botol,4000,29,539,116000,8317000,3052400,5264600,,,,Biaya Variabel per item,5000
4/5/2025,Bakso Biasa,15000,16,539,240000,8317000,3052400,5264600,,,,,
4/5/2025,Bakso Urat,19000,10,539,190000,8317000,3052400,5264600,,,,,
4/5/2025,Teh Botol Sosro,5000,5,539,25000,8317000,3052400,5264600,,,,,
4/5/2025,Es Teler ,15000,5,539,75000,8317000,3052400,5264600,,,,,
4/5/2025,Es Batu,1000,4,539,4000,8317000,3052400,5264600,,,,,
4/5/2025,Kacang Goreng ,6000,3,539,18000,8317000,3052400,5264600,,,,,
4/5/2025,Pangsit Kuah,5000,1,539,5000,8317000,3052400,5264600,,,,,
4/5/2025,Teh Tawar Es/Hangat,5000,1,539,5000,8317000,3052400,5264600,,,,,
4/6/2025,Mie Ayam Bangka Komplit,28000,85,502,2380000,7649000,2867400,4781600,,,,,
4/6/2025,Mie Ayam Bangka Bakso,23000,65,502,1495000,7649000,2867400,4781600,,,,,
4/6/2025,Teh Manis Es/Hangat,5000,65,502,325000,7649000,2867400,4781600,,,,,
4/6/2025,Jeruk Es/Hangat,6000,58,502,348000,7649000,2867400,4781600,,,,,
4/6/2025,Mie Ayam Bangka,20000,58,502,1160000,7649000,2867400,4781600,,,,,
4/6/2025,Air Mineral Botol,4000,40,502,160000,7649000,2867400,4781600,,,,,
4/6/2025,Mie Ayam Bangka Pangsit,23000,33,502,759000,7649000,2867400,4781600,,,,,
4/6/2025,Air Es/Hangat,4000,23,502,92000,7649000,2867400,4781600,,,,,
4/6/2025,Bakso Biasa,15000,18,502,270000,7649000,2867400,4781600,,,,,
4/6/2025,Es Teler ,15000,14,502,210000,7649000,2867400,4781600,,,,,
4/6/2025,Bakso Urat,19000,11,502,209000,7649000,2867400,4781600,,,,,
4/6/2025,Es Campur ,15000,9,502,135000,7649000,2867400,4781600,,,,,
4/6/2025,Teh Botol Sosro,5000,9,502,45000,7649000,2867400,4781600,,,,,
4/6/2025,Kacang Goreng ,6000,7,502,42000,7649000,2867400,4781600,,,,,
4/6/2025,Es Batu,1000,4,502,4000,7649000,2867400,4781600,,,,,
4/6/2025,Teh Tawar Es/Hangat,5000,2,502,10000,7649000,2867400,4781600,,,,,
4/6/2025,Pangsit Kuah,5000,1,502,5000,7649000,2867400,4781600,,,,,
4/7/2024,Mie Ayam Bangka Komplit,28000,69,508,1932000,7472000,2897400,4574600,,,,,
4/7/2024,Mie Ayam Bangka,20000,62,508,1240000,7472000,2897400,4574600,,,,,
4/7/2024,Mie Ayam Bangka Bakso,23000,63,508,1449000,7472000,2897400,4574600,,,,,
4/7/2024,Teh Manis Es/Hangat,5000,61,508,305000,7472000,2897400,4574600,,,,,
4/7/2024,Jeruk Es/Hangat,6000,49,508,294000,7472000,2897400,4574600,,,,,
4/7/2024,Kerupuk Gantung,12000,43,508,516000,7472000,2897400,4574600,,,,,
4/7/2024,Mie Ayam Bangka Pangsit,23000,35,508,805000,7472000,2897400,4574600,,,,,
4/7/2024,Air Es/Hangat,4000,30,508,120000,7472000,2897400,4574600,,,,,
4/7/2024,Air Mineral Botol,4000,29,508,116000,7472000,2897400,4574600,,,,,
4/7/2024,Es Teler ,15000,19,508,285000,7472000,2897400,4574600,,,,,
4/7/2024,Teh Botol Sosro,5000,13,508,65000,7472000,2897400,4574600,,,,,
4/7/2024,Es Batu,1000,10,508,10000,7472000,2897400,4574600,,,,,
4/7/2024,Bakso Biasa,15000,9,508,135000,7472000,2897400,4574600,,,,,
4/7/2024,Bakso Urat,19000,6,508,114000,7472000,2897400,4574600,,,,,
4/7/2024,Es Campur ,15000,4,508,60000,7472000,2897400,4574600,,,,,
4/7/2024,Telur Asin,3000,3,508,9000,7472000,2897400,4574600,,,,,
